rootsid,Outflows,Inflows,NetflowRatio,year,Period
105,1,1,0.0,1670,1670 - 1679
106,1,63,0.97,1670,1670 - 1679
107,16,18,0.06,1670,1670 - 1679
109,730,935,0.12,1670,1670 - 1679
110,42,72,0.26,1670,1670 - 1679
113,3,7,0.4,1670,1670 - 1679
116,0,1,1.0,1670,1670 - 1679
117,0,3,1.0,1670,1670 - 1679
118,15,24,0.23,1670,1670 - 1679
119,2,3,0.2,1670,1670 - 1679
121,10,9,-0.05,1670,1670 - 1679
122,2,104,0.96,1670,1670 - 1679
123,130,145,0.05,1670,1670 - 1679
124,119,248,0.35,1670,1670 - 1679
125,1164,1592,0.16,1670,1670 - 1679
126,0,4,1.0,1670,1670 - 1679
127,1,0,-1.0,1670,1670 - 1679
128,19,22,0.07,1670,1670 - 1679
129,2,3,0.2,1670,1670 - 1679
131,0,17,1.0,1670,1670 - 1679
133,160,188,0.08,1670,1670 - 1679
134,260,400,0.21,1670,1670 - 1679
135,4,16,0.6,1670,1670 - 1679
136,322,511,0.23,1670,1670 - 1679
137,63,97,0.21,1670,1670 - 1679
138,5,6,0.09,1670,1670 - 1679
139,4,4,0.0,1670,1670 - 1679
141,6,9,0.2,1670,1670 - 1679
142,55,184,0.54,1670,1670 - 1679
143,1,3,0.5,1670,1670 - 1679
144,315,370,0.08,1670,1670 - 1679
145,7,27,0.59,1670,1670 - 1679
147,0,1,1.0,1670,1670 - 1679
148,1,3,0.5,1670,1670 - 1679
149,0,1,1.0,1670,1670 - 1679
151,2,3,0.2,1670,1670 - 1679
152,219,421,0.32,1670,1670 - 1679
153,20,18,-0.05,1670,1670 - 1679
154,2,6,0.5,1670,1670 - 1679
101,1,4,0.6,1690,1690 - 1699
102,2,2,0.0,1690,1690 - 1699
105,1,2,0.33,1690,1690 - 1699
106,8,43,0.69,1690,1690 - 1699
107,10,12,0.09,1690,1690 - 1699
109,617,853,0.16,1690,1690 - 1699
110,116,167,0.18,1690,1690 - 1699
113,3,11,0.57,1690,1690 - 1699
116,1,0,-1.0,1690,1690 - 1699
117,1,1,0.0,1690,1690 - 1699
118,10,16,0.23,1690,1690 - 1699
119,0,2,1.0,1690,1690 - 1699
121,12,9,-0.14,1690,1690 - 1699
122,2,100,0.96,1690,1690 - 1699
123,122,129,0.03,1690,1690 - 1699
124,125,181,0.18,1690,1690 - 1699
125,1151,1283,0.05,1690,1690 - 1699
