rootsid,Outflows,Inflows,NetflowRatio,year,Period,name
105,1,1,0.0,1670,1670 - 1679,Arkansas
106,1,63,0.97,1670,1670 - 1679,California
107,16,18,0.06,1670,1670 - 1679,Colorado
109,730,935,0.12,1670,1670 - 1679,Connecticut
110,42,72,0.26,1670,1670 - 1679,Delaware
113,3,7,0.4,1670,1670 - 1679,Georgia
116,0,1,1.0,1670,1670 - 1679,Idaho
117,0,3,1.0,1670,1670 - 1679,Illinois
118,15,24,0.23,1670,1670 - 1679,Indiana
119,2,3,0.2,1670,1670 - 1679,Iowa
121,10,9,-0.05,1670,1670 - 1679,Kentucky
122,2,104,0.96,1670,1670 - 1679,Louisiana
123,130,145,0.05,1670,1670 - 1679,Maine
124,119,248,0.35,1670,1670 - 1679,Maryland
125,1164,1592,0.16,1670,1670 - 1679,Massachusetts
126,0,4,1.0,1670,1670 - 1679,Michigan
127,1,0,-1.0,1670,1670 - 1679,Minnesota
128,19,22,0.07,1670,1670 - 1679,Mississippi
129,2,3,0.2,1670,1670 - 1679,Missouri
131,0,17,1.0,1670,1670 - 1679,Nebraska
133,160,188,0.08,1670,1670 - 1679,New Hampshire
134,260,400,0.21,1670,1670 - 1679,New Jersey
135,4,16,0.6,1670,1670 - 1679,New Mexico
136,322,511,0.23,1670,1670 - 1679,New York
137,63,97,0.21,1670,1670 - 1679,North Carolina
138,5,6,0.09,1670,1670 - 1679,North Dakota
139,4,4,0.0,1670,1670 - 1679,Ohio
141,6,9,0.2,1670,1670 - 1679,Oregon
142,55,184,0.54,1670,1670 - 1679,Pennsylvania
143,1,3,0.5,1670,1670 - 1679,null
144,315,370,0.08,1670,1670 - 1679,Rhode Island
145,7,27,0.59,1670,1670 - 1679,South Carolina
147,0,1,1.0,1670,1670 - 1679,Tennessee
148,1,3,0.5,1670,1670 - 1679,Texas
149,0,1,1.0,1670,1670 - 1679,null
151,2,3,0.2,1670,1670 - 1679,Vermont
152,219,421,0.32,1670,1670 - 1679,Virginia
153,20,18,-0.05,1670,1670 - 1679,Washington
154,2,6,0.5,1670,1670 - 1679,West Virginia
101,1,4,0.6,1690,1690 - 1699,Alabama
102,2,2,0.0,1690,1690 - 1699,null
105,1,2,0.33,1690,1690 - 1699,Arkansas
106,8,43,0.69,1690,1690 - 1699,California
107,10,12,0.09,1690,1690 - 1699,Colorado
109,617,853,0.16,1690,1690 - 1699,Connecticut
110,116,167,0.18,1690,1690 - 1699,Delaware
113,3,11,0.57,1690,1690 - 1699,Georgia
116,1,0,-1.0,1690,1690 - 1699,Idaho
117,1,1,0.0,1690,1690 - 1699,Illinois
118,10,16,0.23,1690,1690 - 1699,Indiana
119,0,2,1.0,1690,1690 - 1699,Iowa
121,12,9,-0.14,1690,1690 - 1699,Kentucky
122,2,100,0.96,1690,1690 - 1699,Louisiana
123,122,129,0.03,1690,1690 - 1699,Maine
124,125,181,0.18,1690,1690 - 1699,Maryland
125,1151,1283,0.05,1690,1690 - 1699,Massachusetts
126,4,7,0.27,1690,1690 - 1699,Michigan
127,0,1,1.0,1690,1690 - 1699,Minnesota
128,12,13,0.04,1690,1690 - 1699,Mississippi
129,2,5,0.43,1690,1690 - 1699,Missouri
130,3,8,0.45,1690,1690 - 1699,Montana
131,1,18,0.89,1690,1690 - 1699,Nebraska
133,156,162,0.02,1690,1690 - 1699,New Hampshire
134,317,540,0.26,1690,1690 - 1699,New Jersey
135,4,40,0.82,1690,1690 - 1699,New Mexico
136,401,419,0.02,1690,1690 - 1699,New York
137,134,161,0.09,1690,1690 - 1699,North Carolina
138,7,6,-0.08,1690,1690 - 1699,North Dakota
139,2,2,0.0,1690,1690 - 1699,Ohio
140,2,3,0.2,1690,1690 - 1699,Oklahoma
141,7,7,0.0,1690,1690 - 1699,Oregon
142,240,437,0.29,1690,1690 - 1699,Pennsylvania
143,0,4,1.0,1690,1690 - 1699,null
144,339,425,0.11,1690,1690 - 1699,Rhode Island
145,23,53,0.39,1690,1690 - 1699,South Carolina
147,5,2,-0.43,1690,1690 - 1699,Tennessee
148,6,4,-0.2,1690,1690 - 1699,Texas
149,1,1,0.0,1690,1690 - 1699,null
150,1,3,0.5,1690,1690 - 1699,Utah
151,8,11,0.16,1690,1690 - 1699,Vermont
152,298,483,0.24,1690,1690 - 1699,Virginia
153,14,15,0.03,1690,1690 - 1699,Washington
154,11,13,0.08,1690,1690 - 1699,West Virginia
155,1,3,0.5,1690,1690 - 1699,Wisconsin
101,8,8,0.0,1680,1680 - 1689,Alabama
106,5,51,0.82,1680,1680 - 1689,California
107,15,11,-0.15,1680,1680 - 1689,Colorado
109,642,765,0.09,1680,1680 - 1689,Connecticut
110,96,142,0.19,1680,1680 - 1689,Delaware
113,1,2,0.33,1680,1680 - 1689,Georgia
117,5,5,0.0,1680,1680 - 1689,Illinois
118,14,19,0.15,1680,1680 - 1689,Indiana
119,2,3,0.2,1680,1680 - 1689,Iowa
120,0,1,1.0,1680,1680 - 1689,Kansas
121,9,9,0.0,1680,1680 - 1689,Kentucky
122,1,94,0.98,1680,1680 - 1689,Louisiana
123,169,138,-0.1,1680,1680 - 1689,Maine
124,136,184,0.15,1680,1680 - 1689,Maryland
125,1135,1469,0.13,1680,1680 - 1689,Massachusetts
126,2,3,0.2,1680,1680 - 1689,Michigan
127,1,0,-1.0,1680,1680 - 1689,Minnesota
128,15,14,-0.03,1680,1680 - 1689,Mississippi
129,0,1,1.0,1680,1680 - 1689,Missouri
130,0,5,1.0,1680,1680 - 1689,Montana
131,0,25,1.0,1680,1680 - 1689,Nebraska
133,151,172,0.07,1680,1680 - 1689,New Hampshire
134,295,503,0.26,1680,1680 - 1689,New Jersey
135,20,46,0.39,1680,1680 - 1689,New Mexico
136,366,446,0.1,1680,1680 - 1689,New York
